,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,4.520379,-1.754628e-07,3.4726295,5.1379566,5.312088,-1.4597735e-09,5.1228414,5.3125563,-0.052653674,-0.052158996,4.5109386,-0.05375122,5.2100797,5.2971845,-0.052110188,0.006956364
ARNT2,5.0910535,-1.9662836e-07,3.889266,5.754364,5.949391,-1.6350082e-09,5.7374606,5.9499226,-0.058970712,-0.058416743,5.080478,-0.060200002,5.8351464,5.9327087,-0.05836217,0.007791833
BTG2,4.260584,-1.6582734e-07,3.2829583,4.857342,5.0219593,-1.3799991e-09,4.8430395,5.0224004,-0.049777873,-0.049310196,4.2516603,-0.050815452,4.9255223,5.007866,-0.049264003,0.0065760207
MED4,5.384296,-2.0750433e-07,4.1033564,6.071108,6.276871,-1.7250533e-09,6.053286,6.2774343,-0.062216748,-0.06163231,5.373138,-0.06351374,6.156339,6.2592754,-0.061574787,0.008221142
SOAT1,5.232199,-2.0186323e-07,3.9923136,5.9068213,6.107016,-1.6783495e-09,5.8894763,6.1075625,-0.060533118,-0.05996449,5.2213435,-0.061794996,5.989745,6.089895,-0.059908494,0.007998472
TLE1,5.6109166,-2.1590944e-07,4.2688074,6.315889,6.529951,-1.7946409e-09,6.2973576,6.5305395,-0.06472531,-0.06411733,5.5993085,-0.066074625,6.4045596,6.5116496,-0.064057514,0.008552915
NFATC2IP,3.9986222,-1.5611154e-07,3.0917065,4.574387,4.7294135,-1.2995599e-09,4.560906,4.729825,-0.046878118,-0.04643766,3.9902198,-0.0478552,4.6385927,4.716136,-0.046394102,0.006192509
GM13597,3.821703,-1.495499e-07,2.962541,4.3832893,4.531838,-1.245234e-09,4.370363,4.5322313,-0.04491973,-0.04449765,3.8136525,-0.045855973,4.4448113,4.519112,-0.04445588,0.0059334994
SOX4,5.2695713,-2.032494e-07,4.0195994,5.94719,6.148753,-1.6898255e-09,5.929727,6.1493034,-0.060946807,-0.060374297,5.258642,-0.06221732,6.0306807,6.1315145,-0.06031793,0.008053186
YEATS2,4.28501,-1.6673327e-07,3.3007915,4.8837247,5.0492373,-1.3874997e-09,4.869347,5.0496807,-0.050048266,-0.049578045,4.2760377,-0.05109147,4.9522767,5.0350685,-0.049531605,0.0066117817
TXNDC12,4.9803634,-1.9252302e-07,3.8084545,5.6348047,5.8257785,-1.6010194e-09,5.6182485,5.826297,-0.057745446,-0.05720298,4.9700093,-0.058949187,5.7139072,5.8094416,-0.057149533,0.007629784
ODC1,3.7605362,-1.4728126e-07,2.9178848,4.317221,4.46353,-1.2264518e-09,4.3044863,4.463917,-0.04424264,-0.043826923,3.7526076,-0.04516477,4.377815,4.450994,-0.043785766,0.0058439504
GM24044,2.763026,-1.1028496e-07,2.189624,3.2397707,3.3495545,-9.201499e-10,3.230161,3.3498323,-0.033200763,-0.03288869,2.7570806,-0.033892598,3.2852283,3.340128,-0.03285759,0.00438359
CRAMP1L,4.6901464,-1.8175922e-07,3.5965726,5.321329,5.5016756,-1.5119033e-09,5.3056817,5.5021634,-0.054532893,-0.05402058,4.6803684,-0.05566964,5.396027,5.4862437,-0.053970065,0.0072049038
YAF2,5.4550757,-2.1012949e-07,4.155031,6.1475596,6.3559146,-1.7467872e-09,6.1295156,6.3564854,-0.06300023,-0.062408436,5.443777,-0.06431357,6.233865,6.338099,-0.062350206,0.008324764
SLC25A4,5.39262,-2.0781306e-07,4.109433,6.0800986,6.286167,-1.7276092e-09,6.062251,6.2867312,-0.06230888,-0.06172359,5.3814454,-0.063607804,6.1654563,6.268545,-0.061665982,0.008233328
GM14303,1.8543953,-7.658505e-08,1.5262524,2.258323,2.334837,-6.4114025e-10,2.2515597,2.3350155,-0.023142729,-0.022925071,1.8502572,-0.023624798,2.2899935,2.3282418,-0.02290313,0.00305335
KRBA1,4.1702447,-1.6247677e-07,3.2170036,4.759763,4.921073,-1.3522592e-09,4.745744,4.9215045,-0.04877788,-0.048319586,4.161501,-0.049794596,4.826573,4.907261,-0.0482743,0.0064437655
MAGED1,4.893675,-1.8930784e-07,3.7451646,5.5411677,5.728967,-1.5744e-09,5.5248833,5.7294774,-0.05678584,-0.05625238,4.883492,-0.05796957,5.618955,5.7129006,-0.056199808,0.00750287
PDIA6,4.4555154,-1.7305712e-07,3.4252737,5.0678945,5.2396507,-1.4398562e-09,5.052983,5.2401123,-0.051935673,-0.051447738,4.4462047,-0.05301824,5.1390333,5.22495,-0.051399577,0.0068614036
PHLDA3,4.5500035,-1.7656157e-07,3.4942575,5.1699553,5.345171,-1.4688702e-09,5.1547475,5.3456435,-0.052981596,-0.05248385,4.5405045,-0.054085985,5.242528,5.330175,-0.05243474,0.0069997343
DCXR,4.604087,-1.785674e-07,3.5337427,5.2283726,5.405569,-1.4854774e-09,5.2129955,5.4060473,-0.05358027,-0.0530769,4.59448,-0.054697145,5.3017654,5.3904047,-0.053027246,0.007078913
COL27A1,4.786865,-1.853464e-07,3.667185,5.4257984,5.609688,-1.5416023e-09,5.409849,5.6101856,-0.055603523,-0.055081163,4.776895,-0.056762595,5.501965,5.5939536,-0.055029664,0.0073465006
