,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AAED1,-0.0044695744,0.1863817,1.0629308,0.0074635595,0.49847385,-0.0033850502,-0.0007039347,0.07248042,-0.0015362316,0.31194824,0.51895094,-0.0051342524,0.25111157,-0.00031827687,0.18716413,-0.0062605357
AAK1,-0.0033505,0.11686525,0.7104046,0.503766,0.30596775,-0.008333108,-0.00060991046,0.28350115,-0.001473045,0.20958692,0.512236,-0.004128259,0.41524664,0.018134225,0.058255404,-0.003694174
AAMP,0.020218246,-0.0073834686,0.05839897,0.9744405,-0.0018815702,-0.0035063392,-0.0013266893,0.8589556,-0.0011816559,0.046321068,0.1701994,0.23919573,-0.0035836357,-0.0041271974,0.05684308,0.20845857
AASDH,0.38864413,-0.0012810826,0.8625504,0.08987455,0.14322236,-0.00085984706,0.24430205,0.054682672,-0.0062729586,0.3315241,0.13549319,0.34948447,-0.004475924,-0.0051174676,0.2496857,-0.002591915
AASDHPPT,-0.0058501232,0.09017025,0.62056327,0.6145767,0.14729226,-0.0067025768,-0.005282581,0.52417445,-0.0009658696,0.32915148,0.475934,-0.0030633472,0.22928804,0.02451668,0.27978027,-0.0017660239
ABCF1,0.3720435,-0.002349299,0.75591195,0.16466773,0.114213236,-0.00066659955,0.2421083,0.118043765,-0.004330359,0.2928033,0.083393164,0.22600347,-0.003904043,-0.00403622,0.33052766,-0.0017864087
ABCF2,0.35647282,-0.0019565634,0.7741019,0.08918372,0.20611843,-0.0016720676,0.4292351,0.0009812005,-0.0055291504,0.24864307,0.06586804,0.2821905,-0.0036832434,-0.0041533797,0.17536929,-0.0027123087
ABCF3,0.3416372,-0.0025014284,0.7226069,0.16208887,0.21114963,-0.0010683974,0.3681054,0.024582848,-0.0045927237,0.24747506,0.051347665,0.21409556,-0.003341597,-0.0037023383,0.24912257,-0.00263132
ABHD12,0.35152435,-0.0018559092,0.8363595,0.071756616,0.22499277,-0.001185924,0.29329747,0.035614908,-0.0058511314,0.3389875,0.17687279,0.23343688,-0.0041584773,-0.0048689735,0.2697282,-0.0027319163
ABHD14A,0.25030634,-0.0021549873,0.66391754,0.24552864,0.116325885,-0.00075889705,-0.00022083461,0.35999364,-0.0036362065,0.4223388,0.17563233,0.3216977,-0.0029240644,-0.0053555323,0.40503663,-0.0011068247
ABHD14B,-0.0056238645,-0.0035521719,0.3192041,0.7894635,-0.0018354418,-0.0029387423,-0.006833795,0.6197696,-0.0024548327,0.2705041,0.38013065,-0.0009054838,0.053449668,-0.0013765162,0.016374268,0.02219794
ABHD17A,-0.0061661243,-0.00082815014,0.5257465,0.88099486,-0.00026675104,-0.007181127,-0.005421486,0.9631704,0.009205684,0.26573172,0.6661979,-0.0047939545,0.35679355,-0.00036656775,0.10187115,-0.0026192376
ABHD2,0.37560505,-0.001596963,0.81958354,0.0596533,0.21892817,-0.0005702154,0.34932607,0.0019265749,-0.005374515,0.30419618,0.124906205,0.23889479,-0.004230993,-0.0046034814,0.24710348,-0.0027531353
ABHD3,0.30125886,-0.0037981572,0.3739056,0.48805547,0.14281611,-0.0034121834,0.54102427,0.30293846,-0.0019792095,-0.0006712154,-3.633022e-05,0.032517076,-0.002952156,-0.0028362202,0.23990263,-0.0018641563
ABHD5,0.3508111,-0.0017985007,0.8293536,0.069199055,0.23982307,-0.0005311019,0.37859404,-0.00034024866,-0.005629717,0.27962634,0.056969784,0.2241982,-0.00428943,-0.0042263437,0.20694318,-0.0031931442
ABI2,0.35370228,-0.0021283387,0.7646346,0.07670888,0.19347942,-0.00050990155,0.3410079,-0.00036337908,-0.00530405,0.27448064,0.11136056,0.23610365,-0.003925519,-0.004108369,0.19096513,-0.0026976906
ABI3,0.17230095,-0.005572847,0.26313943,0.672049,0.014218278,-0.0012955295,-0.0008745615,0.4268741,-0.001682142,0.11590613,0.19218138,0.26726842,-0.0032946803,-0.004131266,0.07998334,0.17420346
ABLIM1,0.36860612,-0.0015488124,0.8482008,0.040100373,0.23331137,-0.0006211505,0.33833736,-0.001058297,-0.005147742,0.27984753,0.12371046,0.2022211,-0.0035501523,-0.0043939413,0.21972847,-0.0025563424
ABRACL,0.2662944,-0.0045968676,0.74737036,0.3386116,0.19813582,-0.002076988,0.50700647,0.10967992,-0.004111811,0.1304944,-0.0008733731,0.016106047,-0.0035090565,-0.0026368788,0.31285125,-0.002508983
ABTB1,0.06176441,-0.007361032,0.06584016,0.95361966,-0.0019461402,-0.0035413532,-0.0011134724,0.8758972,-0.001319533,0.0715277,0.18187264,0.24871233,-0.0037706923,-0.004345555,0.06850723,0.19443658
AC006129.2,0.05389815,-0.007504836,0.12513556,1.0101105,-0.0029668151,-0.0031323384,-0.0026640212,0.8063211,-0.0011383172,0.08206992,0.21003923,0.17499302,-0.0033937353,-0.004459806,-2.8531253e-05,0.23657182
AC006369.2,0.34996015,-0.0019310885,0.83675545,0.05726532,0.25838315,-0.0004055692,0.3466125,-0.00039614062,-0.005439813,0.27924687,0.10590131,0.22888407,-0.004270179,-0.004170962,0.2408512,-0.002594317
AC013264.2,0.31606272,-0.0013864383,0.86543673,0.08189361,0.21264137,-0.0005026464,0.112589315,0.04901038,-0.0059017083,0.42216247,0.16122502,0.32635683,-0.0040440736,-0.0051073013,0.32765722,-0.002301469
AC013461.1,0.3426268,-0.0015533152,0.84378266,0.057942364,0.24484321,-0.0009144384,0.20957123,0.044785403,-0.0059084725,0.37294,0.15036744,0.3549171,-0.0038603928,-0.004538552,0.27285403,-0.0022212856
AC016831.7,0.015515842,-0.0065481225,-0.00017186493,0.84788275,-0.0024967014,-0.0022159347,-0.0031009961,0.7912015,-0.0014985278,0.14743914,0.19358328,0.36272308,-0.0035368612,-0.00389694,0.062476583,0.2872238
AC074117.10,0.4005158,-0.0029081516,0.8405428,0.089383826,0.14552875,-0.0014109565,0.40375715,0.07435691,-0.0059576235,0.30875203,0.023892812,0.16344638,-0.004759459,-0.0040644393,0.26103133,-0.0032378994
